,line_ID,Title,Episode Rating,sentiment_score
0,101,Pilot,7.4,0.14544159292035394
1,102,Diversity Day,8.3,0.20214071856287424
2,103,Health Care,7.7,0.08555458333333331
3,104,The Alliance,8.0,0.17791898734177203
4,105,Basketball,8.4,0.14438009478672986
5,106,Hot Girl,7.7,0.16730498220640563
6,201,The Dundies,8.7,0.1847737903225806
7,202,Sexual Harassment,8.2,0.13420843373493976
8,203,Office Olympics,8.3,0.15568715953307394
9,204,The Fire,8.3,0.13998040540540532
10,205,Halloween,8.1,0.13368367346938775
11,206,The Fight,8.1,0.08321400778210117
12,207,The Client,8.6,0.10720657894736839
13,208,Performance Review,8.1,0.1156468864468865
14,209,Email Surveillance,8.3,0.13221625000000004
15,210,Christmas Party,8.8,0.19193025830258284
16,211,Booze Cruise,8.6,0.17223388888888883
17,212,The Injury,9.1,0.06686107784431143
18,213,The Secret,8.2,0.10093984063745022
19,214,The Carpet,7.8,0.08794644351464434
20,215,Boys and Girls,8.1,0.13778014981273407
21,216,Valentine's Day,8.2,0.231367261904762
22,217,Dwight's Speech,8.4,0.16864769230769228
23,218,Take Your Daughter to Work Day,8.3,0.1823957894736842
24,219,Michael's Birthday,8.1,0.17970506329113914
25,220,Drug Testing,8.3,0.098465306122449
26,221,Conflict Resolution,8.7,0.09341528925619835
27,222,Casino Night,9.4,0.21028328173374597
28,301,Gay Witch Hunt,9.0,0.15983913043478254
29,302,The Convention,8.2,0.1811625984251968
30,303,The Coup,8.5,0.10538704453441293
31,304,Grief Counseling,8.0,0.06641140350877195
32,305,Initiation,8.1,0.10312362204724407
33,306,Diwali,7.9,0.1383212290502793
34,307,Branch Closing,8.6,0.11787777777777775
35,308,The Merger,8.7,0.1525627906976742
36,309,The Convict,8.3,0.11388799999999998
38,312,Back from Vacation,8.6,0.1306014492753623
39,313,Traveling Salesmen,8.6,0.16878032786885241
40,314,The Return,8.8,0.1764744791666667
41,315,Ben Franklin,8.0,0.17519547738693458
42,316,Phyllis' Wedding,8.2,0.15717105263157896
43,317,Business School,8.9,0.19089878787878783
44,318,Cocktails,8.4,0.14576856060606055
45,319,The Negotiation,9.0,0.1101206303724928
46,320,Safety Training,8.7,0.051970955882352975
47,321,Product Recall,8.7,0.09945657894736847
48,322,Women's Appreciation,8.8,0.1073209219858156
49,323,Beach Games,9.2,0.14320703703703708
55,409,Local Ad,8.8,0.14863841807909603
56,410,Branch Wars,8.5,0.12422180451127825
57,411,Survivor Man,8.2,0.12289869565217387
58,412,The Deposition,8.7,0.12834262295081972
59,413,Dinner Party,9.5,0.12422771535580523
60,414,Chair Model,8.0,0.10738608247422676
